Name,Likes,label,Comments,,,
,,bully,damn bossman  let find out u got 2 jobs. what are u  a single parent or somethin'?,,,
,,bully,"no-sign. i dont fuck with ""rats""",,,
,,bully,http://twitpic.com/sbully3a - omg i hate scottiethehottie!! he is a retarded spammer!! he is photographer08 (it got deleted ...,,,
,,bully,no fuck you,,,
,,bully,I don't bother arguing that about Bush anymore because people who admire him have damn near no power post-2008 elections.,,,
,,bully,do you think you are nudging me to change my update...WHORE NAILS!,,,
,,bully,thats what you get for being a fat ass....FAT ASS...,,,
,,bully,I HATE YOU!,,,
,,bully,i've been on twitter bully week and am about 20 shy of 500. does that make me a loser? LOL LOL LOL,,,
,,bully,well either wy thy like dick wayyy to much.,,,
,,bully,omg son i JUST figured out how to reply to youuuuuuu. i hate this lmao,,,
,,bully,fail whale?,,,
,,bully,cluster fuck indeed.,,,
,,bully,"- you can trust me to do my part to help @adam_callender win his ""biggest loser"" contest.  ;)",,,
,,bully,Dang I hate the little buttons. GO BACK ONE TWEET!,,,
,,bully,ironic - I normally hate plastic 4 environmental reasons- this time  it actually saved some of the patterns from the wet grass,,,
,,bully,God Damn !! Ok ... How about Peter Duncan then ?,,,
,,bully,damn you overload issues! :(,,,
,,bully,that's killer. Wish it was even cool here. But it's been damn near 80 most of the week. No where near festive temps.,,,
,,bully,"ugh  yes. I am a consumer whore... ""and how!""",,,
,,bully,SHUT THE FUCK UP!,,,
,,bully,i hear ya. iPods can get annoying with that damn clicking noise!,,,
,,bully,dude...if u didnt tell me how 2 do this fucking thing(twittr) i wud prob still b lyk nowhere with it!,,,
,,bully,Don't you just hate deciding on things.,,,
,,bully,"eddie izzard says the brits pronounce ""herb"" with the h ""because there's a fucking h in it.""",,,
,,bully,I feel like such a nerd watching this! I LOVE IT!!!!!!!!!,,,
,,bully,#NAME?,,,
,,bully,wtf? That is so gay.,,,
,,bully,Would you believe the same article said eating less helps us live longer  too? Damn those scientists!,,,
,,bully,"YOU""RE A GAY!? .... =) I &lt;3 you",,,
,,bully,There's some dude at this bar that totally looks like you. Should I kick his ass for impersonating?,,,
,,bully,all these awesome people just flock to me. Guess I'm about cool as fuck.,,,
,,bully,@KitchenGirlJo what's the fail whale?,,,
,,bully,oh LOL I use a client so I never get the fail whale :-p,,,
,,bully,could be that I'm not typing hard enough? happened a lot more when I first got this laptop about 3 weeks ago. Sucks ass,,,
,,bully,you're a fucking bully  man.,,,
,,bully,damn son,,,
,,bully,fuck the world? Or for the win,,,
,,bully,http://is.gd/brVS (iTunes) or http://is.gd/b4yp Antrel Rolle previewed today's MIN game on the Best Damn Sports Show Podcast.,,,
,,bully,oh come on. I mean  we all love to hate MyZou  but it's one thing to hate MyZou and another to take a time machine to the 70s.,,,
,,bully,no i dont! He does. I hate his guts!!!,,,
,,bully,this makes mme smile lol. I hate him. But we still dont bring him up bc to us he is dead and non-existant.,,,
,,bully,i hope so that way i can fuck him over continuously.,,,
,,bully,your a effin cunt! Ihu!,,,
,,bully,dude that sucks man!,,,
,,bully,Im glad to meet someone with similar FREAK gifts to me.  haha,,,
,,bully,read the emacs-rails codebase and then see why emacs is just damn cool,,,
,,bully,omg omg omg! finally the shoes r coming out yay yay I want them so so so SO BAD! =) fuck cancer! =) this literary made my day,,,
,,bully,god a free cure show! damn!  I didn't know about this & I live close! ugh lucky lucky how was it??,,,
,,bully,"Girl  talked to Black Milk on the phn for an hour. Watching ""Big Bang Theory"" drunk as fuck  eating cereal & its cold in the D.",,,
,,bully,Are you out celebrating your birthday? If so  a birthday drink is ok! But don't forget the marathon. I hate being such a stickler.,,,
,,bully,Damnit.  I've started a new short story.  About a dentist. Fuck.,,,
,,bully,All of my friends are married gay  or have been burned so badly they don't want 2 even think about another relationship :o( I've,,,
,,bully,"Well  if he's a pussy  he surely isn't that man of ""substance"" your looking for lol...Don't settle when you know you want more.",,,
,,bully,the fail whale?,,,
,,bully,Damn  you've had more jobs than  um  er  well  you're just always employed! lol,,,
,,bully,lol maaan-fuck this!! I almost busted my shit like 5 times tryna walk on this damn ice!!,,,
,,bully,burger in each hand? Wut a fat ass!! Lol,,,
,,bully,"yo I only peeped the last 30mins-and I saw here and THOUGHT it was her but figured ""naaah this bitch looks way broker"" lol yikes",,,
,,bully,Yeah! id do her like my nigga did them white chicks at the club on Knocked Up...I fuck the shit out u old bitch but no clubin,,,
,,bully,yeah she pretty cool but she got moments where i be like ehhhh idk! now id fuck but the ass lick wud depend on the nite,,,
,,bully,Son i just got finished watchin Big Mommas House...WOW!!! She damn sure can...and she a MILF so thats a bonus,,,
,,bully,yep ur an uber nerd now,,,
,,bully,and @rapperbigpooh. Was that Sheila easton? Nah...it was that chick that used to fuck with Prince right?,,,
,,bully,Damn fucking skippy. I'm onthe same shit,,,
,,bully,Oldest son just turned bully9 months and youngest is 5 weeks old. Damn dude  u look too young to have a bully7 year old! :),,,
,,bully,Bill Donahue? Seriously? Ask him why he uses hate speech against gays  women and Jews and maybe I'd listen to his complaints,,,
,,bully,I used to do the shopping but when my wife stopped worked a few years back she took over. It is just damn cold until April,,,
,,bully,I just got done busting my ass for the day. I need Booze!,,,
,,bully,I nominate @IgortheTroll cuz he's thee Best Damn Troll we gots!! ;)),,,
,,bully,thats why I hate megavideo.  I'll see if I can get someone to update the episodes with an offshore video hoster.,,,
,,bully,What a cunt!,,,
,,bully,that sucks loxy. I wish there was smtg I could do! Is chury back in cgy as well?,,,
,,bully,and the arabs pussy count reaches 250 million. There I said it  we're all a bunch of pussies. No offence to the pussies,,,
,,bully,yeah  its seems like most of the time unexplained highs are related to a bad site or fat delays,,,
,,bully,duh! fat fish and winning the lottery go hand in hand,,,
,,bully,#NAME?,,,
,,bully,-politicians should have to pass an ethics exam 2x yearly. I wonder if that's a piss test for them?,,,
,,bully,I think that's another one that I haven't seen that makes me eligible for gay card revocation,,,
,,bully,LOOOOL TA PHOTO =D !tu as aim&#233; silvester ou pas ? :S jamais bourr&#233; ensemble -_-' mais trop ch&#232;r l&#224;-bas LOL et le GAY MDR ! lieb dich,,,
,,bully,Alors NERD s'&#233;tait bien ? vous avez du &#234;tre folles pendant lapdance XD &#224; SAMEDIIII &lt;3,,,
,,bully,np you are happy with the service? do you have anything to compare to? I hate 3 not working out of cities. and whirlpool likes exe,,,
,,bully,lmmfao! Shuddup! Any grown ass man that let's other grownass men call him Timmy is gaaaaay!,,,
,,bully,both  think I liked the first one better. They both beat Harry Potter though  that damn rubbish.,,,
,,bully,look im sitting at home twittering my ass off on a friday night. I should know better then anyone  lol,,,
,,bully,lmao damn right but we aint talkin bout me here,,,
,,bully,I fuck wit the lows if there dope...but I know y'all got me fam I ain't trippin,,,
,,bully,lol britt just said it look like a big ass pillow fight outside,,,
,,bully,Wow  that sucks.Merry Christmas to you and your honey (wow  we are both celebrating 'firsts' on that one) -The Bs,,,
,,bully,Damn skippy. I demand to see you before I leave.  You going to come meet BlendMom?,,,
,,bully,Arsclan would freak on u.  Tower Def. is build series of midieval like towers (upgradable) near a pathway of continual attacks.,,,
,,bully,Some liberal gay atheists or Republican fund raisers should jump on that. ;),,,
,,bully,what are you gonna stab a bitch with? scissors? knife? spear? sword? cock? pencil? dildo? cattle prod? broken glass?,,,
,,bully,I once let a Delta Chi fuck me in the ass in Raleigh  NC. He took me to Bahama Breeze and that sealed the deal- doesn't take much.,,,
,,bully,"are you sure they weren't looking for my blog w/ ""wine bottle in ass""??",,,
,,bully,i like to fuck when i tweetup.,,,
,,bully,$bully0 for water is better than the throat fucking i got for free the last time i was there.,,,
,,bully,better give @dochobbes the #nerd prize. he's the nicest nerd i know.,,,
,,bully,dude the ep is sick..Pussy and Tween Me & U are my Jams..,,,
,,bully,LOL I did zackly same thing! BTW thanks for leading me to @ChipEFT Just reqd Born Loser's Guide to Abundance! http://rurl.org/bully8kr,,,
,,bully,damn those Jets!  Hears hoping for happier fucks in the future. *blinks*,,,
,,bully,My pussy is still sadly missing.  *blinks*  Do you think this will affect my popularity.  *evil grin*,,,
,,bully,*shakes head @ you for calling Kitty a pussy*  He's a BOY  you know! lol,,,
,,bully,I work with a very limited bankroll.  When I'm running bad  I HAVE to go for broke.  Now up for the night.  Also  fuck poker.,,,
,,bully,I hate those backgrounds because you can't click on any of those listed links. I find it frustrating.,,,
,,bully,Yes  there is definitely an element of Bush fatigue in all this. Can't wait 'til we can ship his ass back to Texas.,,,
,,bully,dat bitch left u lol,,,
,,bully,no fucking crazy josh!!!!,,,
,,bully,no!!!! Ahhh he is fucking crazy hes been killing himself since yesterday still nothing!,,,
,,bully,call me emo again and i'll cut myself,,,
,,bully,i hate that i know some french...and the french you used  was the french i know,,,
,,bully,"@Dncrbully804 i don't even know what i did or said that was ""emo-esque""",,,
,,bully,*twitch* I. Hate. You. J/k.,,,
,,bully,oh man that sucks. I'm sorry. Sucks to live with people who are dirty..trust me  I can relate.,,,
,,bully,I felt the same way 3 weeks ago. And then proceeded to watch the whole. damn. thing. lol,,,
,,bully,Well  you can send me two and get fat on the rest :),,,
,,bully,you were right  the uv filter that came with that kit sucks. freakin glare spots all over my shots,,,
,,bully,a party bored as fuck. God I need a grown man party,,,
,,bully,it's like gay people using the f word.  somehow  allowed.,,,
,,bully,Damn that is so unfair. Where is the version of Firefox for white  slightly balding men.,,,
,,bully,Can he seriously help me out or are you taking the piss of him :),,,
,,bully,home now. Misses wont let me drink beer tonight cus I gotta do shit tomorow morning.Sucks.,,,
,,bully,man it sucks dont it.On the plane home yesterday i was in agony with the cabin pressure.My ears still are not right now :(,,,
,,bully,So if lifes a bitch  and sleep is the cousin of death  that whole dam family needs help!!!!!,,,
,,bully,tell them to fuck off  give it a few years  then laugh at how much better you are then them.,,,
,,bully,depends on your plan. if you pay out the ass for it  no.,,,
,,bully,That's a very interesting point and one I hadn't heard before. Copper for elec motors? Damn  I love twitter.,,,
,,bully,agree entirely. I'd hate to see a graph for my twitter input this week.,,,
,,bully,guy walks in to a bar with a duck on his head. The bartender says can I help you. The duck says yeah  get this guy off my ass.,,,
,,bully,- Nazi and Facist... I could you call you a commie pig  but that's not very gentleman-like #Gaza,,,
,,bully,I miss being here...wish they had corporations here instead of a damn AQUARIUM! I miss Jimmies hotdogs...that dog food be JUMPIN! LOL,,,
,,bully,dupa cum vezi  eu mai putin cu excelurile  mai mult cu povestile ;o],,,
,,bully,I nominate @yiyinglu for a Shorty Award in #design because...he designed the fail whale :-),,,
,,bully,Lol why do you do this?! I hate your guts :-p,,,
,,bully,But now I really want one  damn you! i hadn't even realised I NEEDED one til you told me they existed!,,,
,,bully,niiice likewise...sure the boricua gave that away. ah yes we boricuas have good taste (Rob Pattinson) hehe damn sexy brits lol,,,
,,bully,i hate having to wait till jan. for the big game lol tedious i tell ya,,,
,,bully,would be at least 4gb at a guess. I ain't using it ATM  if you don't leech ur ass off you're welcome to lend it,,,
,,bully,meh. All year round baby. They're actually growing like fuck at the moment  except for the caterpillar incident yesterday.,,,
,,bully,don't hate on ghajini. It was an awesome movie.,,,
,,bully,If you're hard at work or just leisurely reading  you're not a poser.,,,
,,bully,God Ashley is a bitch  but still  congrats! :),,,
,,bully,I cry  but then I'm just like that fucking woman is a bitch. God I hate her!!! (Yolanda) I'm getting mad just thinking lol,,,
,,bully,lulz. fat chance!  good news is no bacn from friends adding you :D,,,
,,bully,"Looks like lobby card for ""Ocean's 2bully: On the Half-Ass""",,,
,,bully,Check @ replies from hahlo  twhirl  tweetdeck et. al. they reply to the user not specific ID. Makes following convos. a bitch.,,,
,,bully,unless Adobe gets their head out of their ass Flash will die because mobile will be the dominant platform.,,,
,,bully,Lobsters and ligatures? Are you a Portland-area type nerd  then?,,,
,,bully,touche (i hate getting SHUT DOWN. I guess that's what I get when I pray for humility.) at least I am a better student t ...,,,
,,bully,So  it seems you are an attn whore.....no comment. ;-),,,
,,bully,posted the fat man version to the beyonce song.,,,
,,bully,Bitch  you wish. Keep dreamin... =],,,
,,bully,"ahah! and i'll say exactly what i'd say to him: ""bitch make your own!"" i kid:P",,,
,,bully,lol i think she's a huge bitch BUT she's good at what she does and is entertaining at times :),,,
,,bully,AH! i was too! I hated that bitch. I want Bob or Sugar to win:),,,
,,bully,I prefer women to be fat in other places  anyway.  Fat toes and earlobes are so cute.,,,
,,bully,nigella is a bit of a tease I reckon  imagine how fat you'd be stayin at hers,,,
,,bully,twinface it's ATCQ...your drunk ass can't type lol,,,
,,bully,there only a few shows i really look forward to seeing.  i hate when they put a reality show on instead with no warning.,,,
,,bully,Compared to Eeyore and that stupid bear and that demented pig? I think he&#82bully7;s fine.,,,
,,bully,"(Fat lot of good my Medieval History degree is doing me these days.)""",,,
,,bully,Who owns one - I just fix 'em! Hate it when electricals go to Hades.,,,
,,bully,unnecessary.  pain in the ass.  too much effort.,,,
,,bully,damn ecoterrorists! he shoulda just rented a helicopter  better for the enviroment anyways.,,,
,,bully,Yeah i'm with ya...I hate to see guys get hurt  but it's a little easier when it's Roth..if only it had been Ward or Polamalu,,,
,,bully,Yeah  especially if they're those big-ass soft pretzels. Those things are the bomb-diggity.,,,
,,bully,just read the archive artile on your old site. love the jones comparison. how much hate mail did you get?,,,
,,bully,i forgot 2 call in gay 2day too! blast!,,,
,,bully,We miss you back. My Haiku: Famous Dickenson  Exactly Why - I'm not sure. Her poetry sucks.,,,
,,bully,He was just being a dick in H CoT4  his attitude caused wipes  which made him a bigger dick. It was a vicious circle.,,,
,,bully,How you gonna call me a hater? I'm entitled to an opinion and that opinion is SB sucks hog ass. Don't give a f!@k about it,,,
,,bully,heard there were 2do fairies tht come & do ur 2do list if u put a list by the freplce (kinda like leaving cookies 4 the fat guy),,,
,,bully,i got the 8330 bigger keyboard I got fat thumbs,,,
,,bully,yo... you should have another show tomorrow cuz we had to record the past two days... damn albums...,,,
,,bully,ok  i can't believe i just told the haters on Momlogic to kiss your million dollar ass.,,,
,,bully,oh gdnss  jus saw vlog. WOW  I met that fool yrs ago @ MJ restaurant DC.  What a loser!,,,
,,bully,I was trying 2 use it the other day also & had the hardest time. I said fuck it &just called the person. It wasn't working.,,,
,,bully,Yeah I was just saying that. Why did CNN decide he would be a good move? He sucks!! I try to support but I can't.......,,,
,,bully,We loovveee chicken.  Damn i do also so I really shouldn't complain.  And since I found the chicken i am in a better mood.,,,
,,bully,social network whore!,,,
,,bully,why do i hate DMs? so many reasons... one is: you can't send them to someone if they're aren't following you. what a pain that is! :),,,
,,bully,another reason I hate DMs is:  they ring in on my SMS even though they are often lame ads  and not urgent for the sender  nor myself!,,,
,,bully,I responded and asked you  but yes it does vary. Some think gay marriage is immoral. I think those people are bigots.,,,
,,bully,I hate you with the hate of a thousand hates. ;),,,
,,bully,Now wait a second mr fanboy. You cant judge it without seeing it. You already think it sucks and its not even out.,,,
,,bully,Clearly  manufacturers rarely use common sense to make customers happy  when they can easily just piss you off and make $$$$,,,
,,bully,That really sucks I'm sorry. I'd get shitfaced with you but I'm stuck up here on the plateau.,,,
,,bully,Fuck no  I don't feel silly. I worked hard for that.,,,
,,bully,wow  bang bros was the ish...haven't watched it for a while tho! :). damn  now I wanna see that! LOL,,,
,,bully,damn  prolly not! Now  I wanna know! LOL,,,
,,bully,Well  DAMN...Thanx For NOTHING!,,,
,,bully,listen to u...who's the FREAK now? LOL,,,
,,bully,hmmm...I had a feeling bout u! but Damn No Label?? wow,,,
,,bully,you COULD be jobless! Praise God for it! despite how much ya hate HOW it comes at least it's coming IN rather than OUT. LOL,,,
,,bully,Ohhhh  jeez. That sucks... I hope she gets well!,,,
,,bully,I don't have a damn clue what you're talking about. I'm just now on Better Halves.,,,
,,bully,pussy!? :),,,
,,bully,dang...i need to stop eatting cheese. Damn you kraft!,,,
,,bully,"Oh jeez  I had mercifully forgotten about fatman.  Should have been ""assholeman-who-will-piss-everyone-completely-the-fuck-off.""",,,
,,bully,Sorry man  hope you stop ass bleeding soon. (wow that was awkward just thinking about it),,,
,,bully,http://twitpic.com/t9za - Hahaha! that looks so emo...poor guy thats y i prefer drums,,,
,,bully,"I guess that song represents Bono's ""dark"" period. Fuck saving them. Be happy with your wealth.",,,
,,bully,"I always respond to that use of gay by asking if the subject really is ""fag-o-licious"".",,,
,,bully,I hate nearly everything about the first two HP movies.,,,
,,bully,George Lucas' Guide to Sucking Cock?,,,
,,bully,Yah  after more tries than I want to cop to. Damn static in my place is making the laptop jump all over the fookin' place. AUGH!!,,,
,,bully,Yah  you'd think I'd lose some FAT doing' all this shovelin'. But I guess eating brownies when I'm done negates something! Hah,,,
,,bully,I had no clue...Damn  Homie!!!,,,
,,bully,Damn! Break me off some bread!,,,
,,bully,damn Dame lil Magic need some signings... He love Boobie,,,
,,bully,Man!!! You got out that garage hit them stairs so damn fast!!!!! lmao!!! Im like look at this nicca... lol..,,,
,,bully,Seriously! 'Oh Great  a giant American flag! WTF are we supposed to do with it? Fuck it  send it to Price is Right',,,
,,bully,@nakedbard I always hated when people bought practical things like carpet or knife set. BUY THE FUCKING DALMATIAN PEOPLE!,,,
,,bully,You know damn well your boss is going to leave early.  When the mouse is away . . .,,,
,,bully,"a bolt flew of the trucks tire and hit my windshield. Cracked the fuck of of it.""",,,
,,bully,I hate you,,,
,,bully,im not sure if i should taunt you with how awesome it is  or say im surprised it took this long to get snow hate twitters,,,
,,bully,omg i would shop my ass off but that's because i have like zero long term goals :(,,,
,,bully,Better than that shit ass falafel box you eat once a week  I'm sure,,,
,,bully,thank you  she's such a big baby. lol But such an incredible dog. hate to think of life without her pain in the butt self,,,
,,bully,it really depends on the situation but when I get mad I just call old girl up and get the freak on,,,
,,bully,Take Ur ass home,,,
,,bully,HAHA...emo lawn.  I dig that!,,,
,,bully,lol...i disagree...Dick in a Box got too built up for me. It's funnier now...but it wasn't when I saw it. :-( jiz in my pants rocks!,,,
,,bully,on dude......a whale remember,,,
,,bully,i am doing no such thing fuck you,,,
,,bully,"You didn't imagine it. It was the ""get away from her you bitch"" climax scene being parodied.",,,
,,bully,we could call it nerd land and charge ppl 2bits a gander :),,,
,,bully,yeah  fucking predictive text,,,
,,bully,omg I know  everyone tells me I'm a twitter whore  lol,,,
,,bully,Yeah  she did this huge ass rant to me about how i'm going to die alone and how i'm going to regret ever breaking up with her.,,,
,,bully,doll  you know i'm fucking feelingggggg you!  thank god you'recoming this weekend so it forces these fuckers to get on it.,,,
,,bully,"i don't know how to pronounce it  but it sounds like fucking jersey!""",,,
,,bully,"fuck xmas!  give and receive presents whenever feeling presentyyyy &lt;3""",,,
,,bully,Yeah  they seemed to have fixed most of the fail whale problems.,,,
,,bully,Hell yeah the drunker the better...is drunker a word..more drunk? I think its more drunk? Fuck it our show is hood. drunkener,,,
,,bully,fuck no  I don't want to be PM or even a politician. I'm just tired of getting anally raped without any lube.,,,
,,bully,seriously. We're fucking SOFT in this country. The French wouldn't put up with this shit.,,,
,,bully,pissed off? I'm ready to go Mumbai on their fucking asses. We're too soft. We need to start blowing shit up.,,,
,,bully,ROFL! You got me. Monkey would totally kick Bruce Lee's ass. I bow down to your superior wisdom.,,,
,,bully,"I wonder if can write ""Kevin Rudd Is A Cunt"" for the next 30?",,,
,,bully,they won't let us live anywhere without coming up our ass. I want to move  now ):A,,,
,,bully,great :P that lady is a cunt  that serves me right for getting excited over something,,,
,,bully,FUCK YEAH RYAN ROSS. il his lyrics way more than wbeckett's tbh  i donut care if they make no sense. BTW rolling stone FAILS.,,,
,,bully,fuck u asshole we aint even watchin the game shyt we slda goten closer so i cn c betr.how r those cheerleaders 4 ya,,,
,,bully,ud lyk it if they suxd ur dick.bt id kill them rit b4 i killed u.,,,
,,bully,hes goin dwn!we cld kick his ass n dominate him,,,
,,bully,maybe he sldnt cum out in his mofo boxers n dance around hes guna b jumpin around n his junk fall out,,,
,,bully,"yeah..what is it that u called me? ""ass clown"" LMAO..i was like uhhhh welllll then hahahaah",,,
,,bully,Ohhh I hate snow days because then we have to make them up later.,,,
,,bully,WOOT!! 8 pounds is AWESOME! YES  you can! bully pound at a time... I need to get my ass in gear ;),,,
,,bully,damn  why don't all harem leads shout that  kouhai~? would be interesting the resulting chaos,,,
,,bully,@icystorm I think the thing to note here is that everyone has an emo phrase re: romance in high school and eventually it blows over,,,
,,bully,"What happened in '93? (Also  I would have accepted ""29-5-4 bitch"")",,,
,,bully,"Sure glad you found something better to listen to. Would hate to hear you make the news ""that"" way",,,
,,bully,Awesome...Love it or Hate it...An Atmospher of Change...is HERE,,,
,,bully,Top three tips: bully) scan updates  2) pay more attention to @ replies and 3) set time limits before it sucks your day! ;),,,
,,bully,I find the exact opposite to be true.  I can review a book I hate in fifteen minutes.  Good books take hours.,,,
,,bully,that's the coolest damn thing yet! Have you put it on your own website yet? Its a pretty simple ap  just don't use huge pics,,,
,,bully,Yeah  I was teasing Dad  he got a new snow blower  and I said as much as I hate rain  I don't have to shovel it  get home and SNOW!!,,,
,,bully,OH AND!   that guy in dark knight totally was wearing guy liner... he's gay!,,,
,,bully,Because they are FUCKING DUMB and annoying,,,
,,bully,Damn how u burn spaghetti?,,,
,,bully,- Oh  yikes!  I hate that.  Will she willingly use the toilet for it?  My boys won't.,,,
,,bully,She says i have gubgivits? teeth thingies and she stole more blood. every six months with the blood stealing it sucks.,,,
,,bully,will ferrell can suck my dick. go on yim!!!,,,
,,bully,church can also suck my dick.,,,
,,bully,seriously. so precious. I laugh every time i think of Nate rocking out to that shitty ass band.,,,
,,bully,I may hate you a lot right now. Please die? :D,,,
,,bully,hahahahahahjdshgskdg I hate you. So much.,,,
,,bully,my job has made me feel like a tool so i am trying to change how i consume things. fucking cvs.,,,
,,bully,holy fuck. i would just make pasta or something if i were you  that is ridiculous.,,,
,,bully,if you're going to have to spend that much for a fucking pizza  at least go to mellow mushroom or somewhere not disgusting.,,,
,,bully,Frankly  I'm shocked that they use coal at all around here... HELLO!!! Hydro anyone? There's a fucking OCEAN right there!,,,
,,bully,work on this glorous sat. with this crazy ass shoppers,,,
,,bully,what happens when you run out of Word of the Gay words. :),,,
,,bully,THAT WAS FUCKING EPIC.,,,
,,bully,I nominate @PhillyD for a Shorty Award in #entertainment because he's emo.,,,
,,bully,admit it. You're secretly in training for RSA. @beaker who? I can see it now: Cigar  red-bull  and can of whoop-ass. Nice.,,,
,,bully,lol yeah  I coulda told you that cuz I'm a big fucking dorkass about that movie as wel all very well know :) I actually had a dream,,,
,,bully,meeting friend for lunch/coffee. Getting hair cut (although I hate that bit) and my works do in the evening!,,,
,,bully,yea..brang yo ass down  son :) I'll be @ Essence again...Staying @ the W! (thanxxxxxx Sony woop woop n da poop poop),,,
,,bully,I hate weddings.. u shud be grateful for being male  not worrying about what u got to wear.,,,
,,bully,Dick Whittington's Lolcat: I WAS DOIN CAPS FOR LOLSPEAK  SORRY FER CONFYUSHION :( #twitpanto,,,
,,bully,http://twitpic.com/vk9k - Dick Whittington's Lolcat: NICE SPACE TROUSRS  BOSS #twitpanto,,,
,,bully,twins! we've been watching this one guy  he sucks with a hammer,,,
,,bully,PETA is an ass in the article  D. Big time.,,,
,,bully,canadians always make me think shut your fucking face uncle fucker!   http://kenny.smoovenet.com/grabpics/terrance.gif,,,
,,bully,oh in that case. WTF  thats some ugly ass shit to do.,,,
,,bully,"""midget w/a hookhand hangin off your collar"" IM FUCKING DEAD. BURY ME. D-E-A-D DEAD.",,,
,,bully,i hate people sometimes-today is one of those more than usual days,,,
,,bully,YES. the thing is big enough for my ass plus another half. its like my parents couch.,,,
,,bully,well shit then I know I'll catch on ... who the fuck wouldn't be interested in what I have to say.. LOL!,,,
,,bully,lmfao HURRY AND GET THE FUCKING LYRICS.,,,
,,bully,ill settle that bitch down real quick,,,
,,bully,you work in cape cod. why the fuck am i up so early. argh  stupid cousin &brother.,,,
,,bully,damn! twitpic that shizzle!,,,
,,bully,Exactly! Damn cops disagree though,,,
,,bully,dont hate ur life! =_=,,,
,,bully,dont hate!,,,
,,bully,I hate ism's as much as the next guy but when the shoe fits...,,,
,,bully,Oh  conservation you mean! That is a good point.  I admire many socialists but hate their ideals socialism brings with it.,,,
,,bully,can you tell loser tudds to turn his fucking phone on...,,,
,,bully,whoever created chocolate pecan pie  thank. thank you for my big fat ass.,,,
,,bully,if you hate sprint. try jogging. and stop once and while for eggnog.,,,
,,bully,cont. and you must RT EVERY LITTLE THING someone says  then DAMN do I feel SORRY for you and your friends.,,,
,,bully,RT this then GO fuck yourself stay the FUCL out of lives and HOPEFULLY you'll die a Horrendous DEATH for all to WATCH,,,
,,bully,"Do you realize your comment on parents dying comes off as a tad insensitive? like a ""sucks to be you"" comment",,,
,,bully,you won't die in Queens we're civilized here in Queens  hell there's a Starbucks & McDonald's on damn near every corner  have fun,,,
,,bully,What? Yours WORKS? I hate you.,,,
,,bully,"""hey've just proved how fucking irrelevant they are"" ..By making you go and read them?",,,
,,bully,sometimes I hate how contagious US culture is,,,
,,bully,The eyes followng me are creepy. Damn creepy. And that smile makes it worse.,,,
,,bully,cock flavored seasoning?!?!? wtf,,,
,,bully,That depends on if you are dealing with a pain slut or not.,,,
,,bully,You're going to find a woman and tease her to make her have to cum silently at work?,,,
,,bully,Exactly. Poor kids. That damn thing has me watching weird videos on YouTube now. Argh.,,,
,,bully,She's probably saying all kinds of phony shit and giggling like she's bully3 years old. God  I hate her.,,,
,,bully,She makes me sick. She thinks she's cool and youthful cuz she watches that show. Phony bitch.,,,
,,bully,LOL FAT NIGGAZ UNITE FATRON!!! HAHAHAHA,,,
,,bully,let's be gay together!,,,
,,bully,THE NEW FUCKING GENERAL OF THE WORLD  THAT'S WHAT.,,,
,,bully,hahah word ! their set was off the fucking hezay,,,
,,bully,damn straight you do,,,
,,bully,well mine are double flared  so they are a fucking homo bitch cunt to get out. aggrivation!,,,
,,bully,i hate you,,,
,,bully,Kurt you're on the most watched tv station in central Ohio  your ass should be #bully already LOL. I'm just cooler than you!,,,
,,bully,a) JTP is a douchebag b) Stewart kicks ass!,,,
,,bully,I cunt wait for u to start shitting out the gifts I sent jew.,,,
,,bully,what is this dick suck moment? lol. HAPPY NEW YEAR,,,
,,bully,WPMU can go fuck itself,,,
,,bully,"there you go denying stuff again. until Maury clears you on TV w/ an ""i aint yo daddy test "" your ass is suspect.",,,
,,bully,This week in fuck?,,,
,,bully,I did ur mom last night? Naww I don't like old fat white bitches! &#58390;,,,
,,bully,damn we got BWNT - where you headed tonight?,,,
,,bully,Frickin turnovers! Dang flags.  SD's gonna beat our ass and Denver is going to blow a 3 game lead. They don't deserve to win.,,,
,,bully,I meant boo YOU whore!,,,
,,bully,you are such a whore LOL,,,
,,bully,- yep  I'm a real ass. Everybody knows that.,,,
,,bully,Wow...so you bought what's fashionable at...gay biker bars!!!  Congrats!!!  :-),,,
,,bully,yeah u are!! Asian ass  embrace it,,,
,,bully,"so  when he laughs & comes down the chimney  does he say  ""Whore! Whore! Whore!"" and shake like a bowl full of jelly???",,,
,,bully,How would you fancy being Jeff's resident bitch? Just his pet  he can take you out for walk and stuff. Straighten your hair...,,,
,,bully,"You clearly said ""Would I have to fuck anyone""",,,
,,bully,Lol. Ur a bitch. I've done Hondurans and Chileans  and I don't need some closet gay Peruvian dressing better than I do!,,,
,,bully,2008 is over? Damn  what'd I miss! I quit keeping track of years after 'Buffy' went of the air...,,,
,,bully,"that's why I hate them. ""Oooops  why don't I go this way and destroy your whole story. Or maybe ill refuse to say anything.""",,,
,,bully,Damn cat. She snuck into Aidan's CRIB (bullyst time) he woke screaming - went in - he was squeezing her & she was kicking his tummy.,,,
,,bully,(cont) I say  the whole sheet costs $8.40... buy one of each and get the fuck out of my way!,,,
,,bully,yes  you remember me trying to keep *MY* lashes on for the awards this year- never fucking wearing those damn things AGAIN,,,
,,bully,Called in gay? LMAO!,,,
